000,001,008,035$a,040$a,040$b,040$c,040$e,191$a,491$a,591$w,591$a,670$a
00185cz  a2200097   4500,XX38,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX38,AIAS,,,,Australia,,,,
00247cz  a2200109   4500,XX39,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX39,AIAS,,,,Australian Capital Territory (ACT SI55-16),,g,Australia,
00226cz  a2200109   4500,XX40,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX40,AIAS,,,,New South Wales (NSW),,g,Australia,
00228cz  a2200109   4500,XX41,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX41,AIAS,,,,Northern Territory (NT),,g,Australia,
00221cz  a2200109   4500,XX42,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42,AIAS,,,,Queensland (Qld),,g,Australia,
00225cz  a2200109   4500,XX43,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX43,AIAS,,,,South Australia (SA),,g,Australia,
00219cz  a2200109   4500,XX44,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX44,AIAS,,,,Tasmania (Tas),,g,Australia,
00227cz  a2200109   4500,XX46,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX46,AIAS,,,,Western Australia (WA),,g,Australia,
00236cz  a2200109   4500,XX47,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX47,AIAS,,,,Australian external territories,,g,Australia,
00243cz  a2200109   4500,XX48,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX48,AIAS,,,,Christmas Island,,g,Australian external territories,
00241cz  a2200109   4500,XX49,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX49,AIAS,,,,Norfolk Island,,g,Australian external territories,
00220cz  a2200109   4500,XX50,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX50,AIAS,,,,Australian seas,,g,Australia,
00235cz  a2200109   4500,XX51,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX51,AIAS,,,,"Arafura Sea (SC52, SC53)",,g,Australian seas,
00235cz  a2200109   4500,XX52,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX52,AIAS,,,,"Bass Strait (SJ55, SK55)",,g,Australian seas,
00248cz  a2200109   4500,XX53,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX53,AIAS,,,,"Great Barrier Reef (SD55, SE55, SF56)",,g,Australian seas,
00252cz  a2200109   4500,XX54,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX54,AIAS,,,,"Great Australian Bight (SI51, SI52, SI53)",,g,Australian seas,
00249cz  a2200109   4500,XX55,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX55,AIAS,,,,"Gulf of Carpentaria (SD53, SD54, SE54)",,g,Australian seas,
00233cz  a2200109   4500,XX56,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX56,AIAS,,,,"Timor Sea (SC52, SD52)",,g,Australian seas,
00314cz  a2200121   4500,XX57,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX57,AIAS,,,,"River Murray (SW NSW, N Vic, SE SA SI54, SI55)","Murray River (SW NSW, N Vic, SE SA SI54, SI55)",g,Australia,
00270cz  a2200109   4500,XX77,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX77,AIAS,,,,Daru Island (W Papua PNG SC54-08),,g,"West Papua (W Papua PNG SC54-07, SC54-08)",
00265cz  a2200109   4500,XX79,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX79,AIAS,,,,Moibut (W Papua PNG SC54-07),,g,"West Papua (W Papua PNG SC54-07, SC54-08)",
