Place,Parent,MapSheet,UF,BT
Australian Capital Territory,ACT,I5516,,Australia
Daru Island,W Papua PNG,C5408,,"West Papua (W Papua PNG SC54-07, SC54-08)"
Moibut,W Papua PNG,C5407,,"West Papua (W Papua PNG SC54-07, SC54-08)"
Torres Strait Islands,Qld TSI ,C5412,,Queensland (Qld)
Torres Strait Islands,Qld TSI ,C5505,,Queensland (Qld)
Boigu map area,Qld TSI,C5407,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Boigu / Talbot Island,Qld TSI,C5407,Talbot Island,"Boigu map area (Qld TSI SC54-07);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Mabuiag / Jervis Island,Qld TSI,C5407,Jervis Island;Mabuyag Island,"Boigu map area (Qld TSI SC54-07);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Pulu Islet,Qld TSI,C5407,,Boigu map area (Qld TSI SC54-07)
Daru map area,Qld TSI,C5408,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Dauan / Cornwallis Island,Qld TSI,C5408,Cornwallis Island,"Torres Strait Islands (Qld TSI SC54, SC55-05);Daru map area (Qld TSI SC54-08)"
Edgor / Nepean Islet,Qld TSI,C5408,Nepean Islet,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Erub / Darnley Island,Qld TSI,C5408,Darnley Island,Daru map area (Qld TSI SC54-08)
Gebar / Gabba Island,Qld TSI,C5408,Gabba Island,Daru map area (Qld TSI SC54-08)
Damuth / Jamud Island / Dalrymple Islet,Qld TSI,C5408,Dalrymple Islet;Damut Island,Daru map area (Qld TSI SC54-08)
Mauar / Rennel Island,Qld TSI,C5408,Rennel Island,Daru map area (Qld TSI SC54-08)
Masig / Yorke Island,Qld TSI,C5408,Yorke Island;Massid Island,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Mukwa / Mukar Island / Cap Islet,Qld TSI,C5408,Mukar Island;Cap Islet,Daru map area (Qld TSI SC54-08)
Saibai Island,Qld TSI,C5408,,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Tudu Island / Warrior Islet,Qld TSI,C5408,Warrior Islet,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Ugar / Stephens Island,Qld TSI,C5408,Stephens Island,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Warrior Reefs,Qld TSI,C5408,,Daru map area (Qld TSI SC54-08)
Yam / Turtle-backed Island,Qld TSI,C5408,Turtle-backed Island,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Zegey / Dungeness Island,Qld TSI,C5408,Dungeness Island;Giaka Island,Daru map area (Qld TSI SC54-08)
Maer map area,Qld TSI,C5505,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Dauar / Dowar Island,Qld TSI,C5505,Dowar Island,"Maer map area (Qld TSI SC55-05);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Mer / Murray Island,Qld TSI,C5505,Murray Island,"Maer map area (Qld TSI SC55-05);Torres Strait  Islands (Qld TSI SC54, SC55-05)"
Waier Island,Qld TSI,C5505,,"Maer map area (Qld TSI SC55-05);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Thursday Island map area,Qld TSI,C5411,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Badu / Mulgrave Island,Qld TSI,C5411,Mulgrave Island,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Gialug / Friday Island,Qld TSI,C5411,Friday Island;Giralag Island,Thursday Island map area (Qld TSI SC54-11)
Keriri / Hammond Island,Qld TSI,C5411,Hammond Island;Kirriri;Kiriri,Thursday Island map area (Qld TSI SC54-11)
Moa / Banks Island,Qld TSI,C5411,Banks Island;Mua Island,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Kubin,Moa / Banks Island Qld TSI,C5411,Kubin,Moa / Banks Island (Qld TSI SC54-11)
St Pauls,Moa Island Qld TSI,C5412,,Moa / Banks Island (Qld TSI SC54-11)
Muralag / Prince of Wales Island,Qld TSI,C5411,Prince of Wales Island;Muralug,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Narupai / Horn Island,Qld TSI,C5411,Horn Island;Ngurupai,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)"
North Possession Island,Qld TSI,C5411,"Possession Island, North",Thursday Island map area (Qld TSI SC54-11)
Possession Island,Qld TSI,C5411,,Thursday Island map area (Qld TSI SC54-11)
Waiben / Thursday Island,Qld TSI,C5411,Thursday Island,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Cape York map area,Qld TSI,C5412,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Bara / Burrar Islet / Bet Island,Qld TSI,C5412,Burrar Islet / Bet Island;Bet Island,Cape York map area (Qld TSI SC54-12)
Ngiangu / Booby Island,Qld TSI,C5412,Booby Island,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Guijar / Guiya Islet,Qld TSI,C5412,Guiya Islet,Cape York map area (Qld TSI SC54-12)
Nahgi / Mount Ernest Island,Qld TSI,C5412,Mount Ernest Island;Nagheer;Nagir;Naghir,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Poruma / Purma / Coconut Island,Qld TSI,C5412,Coconut Island;Paremar Island,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Waraber Island / Sue Islet,Qld TSI,C5412,Warraber Island;Sue Islet,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)"
Tiwi Islands,NT ,C5216,,Northern Territory (NT)
Wurrumiyanga / Nguiu,Bathurst Island NT,C5216,Nguiu,Bathurst Island (NT SC52-15)
Tipalari,Bathurst Island NT,C5216,,Bathurst Island (NT SC52-15)
Yermalner / Melville Island,NT,C5216,Melville Island,"Tiwi Islands (NT SC52-15, SC52-16)"
Karslake / Carslake Island,Melville Island NT,C5216,Carslake Island,Melville Island / Yermalner (NT SC52-16)
Fort Dundas,Melville Island NT,C5216,,Melville Island / Yermalner (NT SC52-16)
Milikapiti / Snake Bay,Melville Island NT,C5216,Snake Bay,Melville Island / Yermalner (NT SC52-16)
Pickertaramoor,Melville Island NT,C5216,,Melville Island / Yermalner (NT SC52-16)
Banyan Island,East Arnhem Land NT,D5303,,Arnhem Land islands (NT)
Bremer Island,East Arnhem Land,D5304,,Arnhem Land islands (NT)
Crocodile Islands,Central Arnhem Land ,D5302,,Arnhem Land islands (NT)
Rabuma Island,Central Arnhem Land,D5302,,"Crocodile Islands (Central Arnhem Land SD53-02, SC53-14)"
Croker Island,West Arnhem Land NT,C5313,,Arnhem Land islands (NT)
Minjilang,Croker Island West Arnhem Land NT,C5313,,Croker Island (West Arnhem Land NT SC53-13)
Dulmana Islet,East Arnhem Land NT,D5303,,Arnhem Land islands (NT)
Elcho Island,East Arnhem Land NT ,D5303,,Arnhem Land islands (NT)
Galiwinku,Elcho Island East Arnhem Land NT,D5303,,"Elcho Island (East Arnhem Land NT SC53-15, SD53-03)"
Goulburn Islands,West Arnhem Land NT,C5313,,Arnhem Land islands (NT)
Warruwi,South Goulburn Island West Arnhem Land NT,C5313,,Goulburn Islands (West Arnhem Land NT SC53-13)
Howard Island,East Arnhem Land NT,D5303,,Arnhem Land islands (NT)
Woodah Isle,NT Gulf Islands,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Cobourg Peninsula map area,West Arnhem Land NT,C5313,,Arnhem Land (NT)
Cobourg Peninsula / Gurig National Park,West Arnhem Land NT,C5313,Gurig National Park,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Cape Don,West Arnhem Land NT,C5216,"Don, Cape",Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Port Essington,West Arnhem Land NT,C5313,"Essington, Port",Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Raffles Bay / Fort Wellington,West Arnhem Land NT,C5313,"Fort Wellington;Wellington, Fort",Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
King River,West Arnhem Land NT ,C5313,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
