Region,MapSheet,Exists
"ACT, S NSW",I5516,True
Arnhem Land NT,D5301,True
Arnhem Land NT,D5305,True
Arnhem Land NT,D5306,True
Bamaga Qld Far North Cape York,C5411,True
Central Arnhem Land NT,D5302,True
Central Arnhem Land NT,C5314,False
Central NT,E5207,True
Central NT,E5208,True
Central NT,E5211,True
Central NT,E5211,True
Central NT,E5314,True
Central NT,F5302,True
Central NT,F5303,True
Central NT,F5304,True
Central NT,F5306,True
Central NT Tanami Desert,E5212,True
Central NT Tanami Desert,E5215,True
Central NT Tanami Desert,E5216,True
Central NT Tanami Desert,E5309,True
Central NT Tanami Desert,E5313,True
Central NT Tanami Desert,F5203,True
Central NT Tanami Desert,F5204,True
Central NT Tanami Desert,F5207,True
Central NT Tanami Desert,F5208,True
Central NT Tanami Desert,F5211,True
Central NT Tanami Desert,F5301,True
Central NT Tanami Desert,F5305,True
"Central NT Tanami Desert, North NT",E5305,True
"Central NT, North NT",E5203,True
Central WA,G5209,True
Central WA Great Sandy Desert,E5213,True
Central WA Great Sandy Desert,F5201,True
Central WA Great Sandy Desert,F5205,True
Central WA Great Sandy Desert,F5209,True
Central WA Great Sandy Desert,F5210,True
Central WA Great Sandy Desert,F5213,True
Central WA Great Sandy Desert,F5214,True
Central WA Tanami Desert,E5214,True
Central WA Tanami Desert,F5202,True
Central WA Tanami Desert,F5206,True
Central WA Warburton,G5201,True
Central WA Warburton,G5202,True
Central WA Warburton,G5205,True
Central WA Warburton,G5206,True
Central WA Warburton,G5210,True
Central WA Warburton,G5213,True
Central WA Warburton,G5214,True
E Qld,F5501,True
E Qld,F5502,True
E Qld,F5503,True
E Qld,F5504,True
E Qld,F5506,True
E Qld,F5507,True
E Qld,F5508,True
E Qld,F5510,True
E Qld,F5511,True
E Qld,F5512,True
E Qld,F5515,True
E Qld,F5516,True
E Qld,F5605,True
E Qld,F5609,True
E Qld,F5613,True
E Qld,F5614,True
E Tas,K5506,True
E Vic,J5503,True
E Vic Gippsland,J5506,True
E Vic Gippsland,J5507,True
E Vic Gippsland,J5511,False
E Vic Gippsland,J5508,True
E Vic Gippsland,J5510,True
East Arnhem Land NT,D5303,True
East Arnhem Land NT,D5304,True
East Arnhem Land NT,D5307,True
East Arnhem Land NT,D5311,True
East Kimberley WA,E5201,True
East Kimberley WA,E5205,True
East Kimberley WA,E5210,True
Elcho Island East Arnhem Land NT,D5303,True
Far West SA,H5203,True
Far West SA,H5204,True
Far West SA,H5207,True
Far West SA,H5208,True
Far West SA,H5211,True
Far West SA,H5212,True
Far West SA,H5216,True
Far West SA Nullarbor,H5215,True
Gibson Desert WA,F5115,True
Gibson Desert WA,F5116,True
Great Sandy Desert WA,E5114,True
Great Sandy Desert WA,E5115,True
